timestamps,h_com_hist,h_clear_hist,angmom_wb_hist,motor_timestamps,motor_current,motor_voltage,motor_power
0.04200410843,0.521062533,0.003205869256,[0.00359474 0.0413047  0.0532891 ],0.04137587547,2.839999972,56.44783274,160.3118434
0.04304885864,0.5210507967,0.003189621944,[0.0055651  0.03607042 0.05730896],0.04230594635,2.819999961,56.44099998,159.1636178
0.04400372505,0.5210386236,0.003173855931,[0.01140467 0.0301848  0.05611485],0.04350495338,2.839999942,56.45050049,160.3194181
0.04504203796,0.5210260215,0.003156229919,[0.01545346 0.03525423 0.05262841],0.04451799393,2.829999981,56.43883324,159.721897
0.04604434967,0.5210130009,0.003139714583,[0.01595941 0.04449274 0.05055857],0.04553103447,2.819999991,56.45499992,159.2030993
0.04704236984,0.5209995755,0.003121278561,[0.01480976 0.04029652 0.04934873],0.04651904106,2.730000032,56.45599937,154.1248801
0.04803776741,0.5209857617,0.003102704657,[0.00867989 0.03812726 0.05131437],0.04752087593,2.730000023,56.46249962,154.1426252
0.04905366898,0.5209715792,0.00308362524,[0.0049012  0.03171481 0.05609051],0.04852604866,2.750000013,56.46633275,155.2824158
0.05004549026,0.5209570501,0.00306452197,[0.00704718 0.03753268 0.05921935],0.04952383041,2.739999993,56.46166674,154.7049665
0.05103826523,0.5209421992,0.003045445953,[0.01153599 0.03774225 0.05833469],0.05052781105,2.759999989,56.46066602,155.8314376
0.05203509331,0.5209270534,0.003027231661,[0.01550882 0.04250484 0.05156016],0.05162382126,2.759999994,56.45683289,155.8208584
0.0530359745,0.5209116417,0.003008930054,[0.01378949 0.03494945 0.04619827],0.05261898041,2.79999998,56.44933383,158.0581336
0.05404782295,0.5208959944,0.002990109595,[0.00888118 0.03576909 0.04628816],0.05366897583,2.800000001,56.44983292,158.0595322
0.05504179001,0.5208801434,0.002970861062,[0.00560278 0.03679365 0.05081442],0.05474710464,2.769999994,56.44349988,156.3484943
0.05600094795,0.5208641211,0.002951483044,[0.00402948 0.03696701 0.05456589],0.05574798584,2.760000004,56.4514993,155.8061383
