timestamps,pos_com_hist,pos_clear_hist,angmom_wb_hist,heading_vec_hist
0.16499900817871094,[ 0.01430491 -0.85024527  0.83158592],[-0.06785633 -0.6515342   0.01662004],[ 1.25253408 -2.68648732 -0.40729815],[0.09156377 0.74438973 0.        ]
0.17000579833984375,[ 0.01715474 -0.85153777  0.83444626],[-0.06416639 -0.64921372  0.02042588],[-0.15803044 -1.56706804  0.12090952],[0.08596755 0.74505676 0.        ]
0.1750044822692871,[ 0.01964085 -0.85292241  0.83708003],[-0.05913984 -0.64943644  0.02409729],[-0.67060088 -1.58551885  0.52721918],[0.07896498 0.74583144 0.        ]
0.18001866340637207,[ 0.02190855 -0.85450174  0.83970157],[-0.05317125 -0.65127067  0.02782891],[-1.01869597 -2.32138759  0.49883194],[0.06941535 0.74678076 0.        ]
0.1849989891052246,[ 0.0244089  -0.85512452  0.84256682],[-0.0471402  -0.65468393  0.03184899],[-0.39533979 -0.6593639   0.90291834],[0.05927812 0.74765373 0.        ]
0.19001364707946777,[ 0.0270494  -0.85469082  0.84437568],[-0.04078379 -0.65907932  0.034812  ],[-0.82754653 -1.05973613  0.50836893],[0.04855759 0.74842646 0.        ]
0.1950078010559082,[ 0.02963732 -0.85487815  0.84744303],[-0.03529407 -0.6637825   0.03915152],[-0.48301352 -0.29737207  0.19896394],[0.04101635 0.7488776  0.        ]
0.20000243186950684,[ 0.03441264 -0.85408596  0.85086696],[-0.03021822 -0.66887412  0.0436385 ],[1.88378457 0.56311447 0.37180415],[0.03313118 0.74926786 0.        ]
0.20500612258911133,[ 0.03892603 -0.8528513   0.85410723],[-0.02559826 -0.67367616  0.04801016],[0.29072325 0.91140632 0.26467705],[0.02724272 0.74950506 0.        ]
0.2100059986114502,[ 0.04177449 -0.85190054  0.85712942],[-0.02111366 -0.67840912  0.05196566],[-0.23225279  0.63146807  0.42696699],[0.02417714 0.74961021 0.        ]
0.21500325202941895,[ 0.04513876 -0.85143953  0.85945185],[-0.01592308 -0.68275727  0.05558315],[ 0.08582205 -0.28215932  0.50591386],[0.01933811 0.74975065 0.        ]
0.22001123428344727,[ 0.04800577 -0.85003692  0.86056425],[-0.01036073 -0.68712491  0.0578741 ],[-0.83073579 -0.41596789  0.32042267],[0.0152706  0.74984452 0.        ]
0.22501397132873535,[ 0.05018567 -0.85083698  0.86144879],[-0.00489133 -0.69169297  0.06116541],[-0.75834483 -0.18040172  0.44470101],[0.01058636 0.74992528 0.        ]
0.23000431060791016,[ 0.05256353 -0.85072123  0.86290593],[ 0.00069861 -0.69640711  0.06443196],[-0.67572571 -0.8067271   0.34550607],[0.00514249 0.74998237 0.        ]
0.23500919342041016,[ 0.05497411 -0.85136007  0.86376241],[ 0.00650672 -0.7003039   0.06756455],[-0.53788151 -0.95086474  0.40764006],[-4.22241268e-04  7.49999881e-01  0.00000000e+00]
0.2400035858154297,[ 0.05843716 -0.85061625  0.86546218],[ 0.01199148 -0.70521464  0.07063569],[0.15783937 0.24955276 0.55120801],[-0.00660775  0.74997089  0.        ]
0.24499797821044922,[ 0.06136117 -0.84991593  0.86677034],[ 0.01716498 -0.70914621  0.07335845],[-0.66039545  0.27887583  0.43019748],[-0.0114325   0.74991286  0.        ]
0.2500026226043701,[ 0.06427342 -0.84916565  0.86771355],[ 0.02218284 -0.71267515  0.07558711],[-0.03459024  0.61940175  0.51943488],[-0.01554311  0.74983892  0.        ]
0.2550029754638672,[ 0.06800339 -0.84722919  0.86717825],[ 0.02756399 -0.71595018  0.0760135 ],[-0.18403864 -0.11608185  0.39078813],[-0.01994409  0.74973478  0.        ]
0.26000261306762695,[ 0.07017236 -0.84710357  0.8669975 ],[ 0.03240582 -0.71873404  0.07743274],[-1.23573546 -0.38344872  0.21923774],[-0.02342684  0.74963403  0.        ]
0.2650022506713867,[ 0.07214898 -0.84721813  0.86652152],[ 0.03744851 -0.72158677  0.07867395],[-1.03174238 -0.40057539  0.25994505],[-0.02815531  0.74947133  0.        ]
0.2700057029724121,[ 0.07482194 -0.84712801  0.86583554],[ 0.04256455 -0.72436381  0.07988925],[-0.29334104 -0.29563687  0.36206826],[-0.0344667   0.74920761  0.        ]
0.27500295639038086,[ 0.07734297 -0.84738205  0.86448199],[ 0.04792457 -0.72743506  0.08103846],[-0.73496326 -0.14320757  0.33279588],[-0.0408468   0.74888687  0.        ]
0.2800123691558838,[ 0.08018974 -0.84707996  0.86356359],[ 0.05335839 -0.73037034  0.08199868],[-0.30757046 -0.30473766  0.46281902],[-0.04825268  0.74844618  0.        ]
0.2850022315979004,[ 0.08295678 -0.84687891  0.86234416],[ 0.05880089 -0.73329382  0.0827486 ],[-0.66119622 -0.3336647   0.34871628],[-0.05560162  0.74793613  0.        ]
0.29001283645629883,[ 0.08623911 -0.84566891  0.85965665],[ 0.06481148 -0.73616055  0.08186466],[-0.48743053 -0.28929264  0.41858833],[-0.06319588  0.74733278  0.        ]
0.29500293731689453,[ 0.08917079 -0.84532369  0.85784838],[ 0.07022352 -0.73896987  0.0821916 ],[-0.2929052   0.03672888  0.4507762 ],[-0.070222    0.74670534  0.        ]
0.30000901222229004,[ 0.09158336 -0.84459793  0.85610476],[ 0.0756043  -0.74184632  0.08231101],[-0.93353429  0.56728616  0.33276845],[-0.07669897  0.74606787  0.        ]
0.30500221252441406,[ 0.09464886 -0.84384546  0.85394627],[ 0.08057994 -0.74432796  0.08212058],[0.20244607 0.26608243 0.44234035],[-0.08268004  0.74542874  0.        ]
0.31000280380249023,[ 0.09796187 -0.84338735  0.85159904],[ 0.08553789 -0.74654111  0.08159422],[-0.13324698 -0.27183662  0.32939349],[-0.08888019  0.74471492  0.        ]
0.31500840187072754,[ 0.10042357 -0.84283193  0.84883753],[ 0.09029578 -0.74855794  0.08081807],[-0.69945959  0.31682918  0.21579953],[-0.09418581  0.74406252  0.        ]
0.32001757621765137,[ 0.10416195 -0.84166432  0.84424918],[ 0.09583177 -0.75032823  0.07828177],[-0.55440966 -0.13038088  0.31747896],[-0.10086581  0.74318644  0.        ]
0.3250083923339844,[ 0.10686897 -0.84222545  0.84016982],[ 0.10098927 -0.75208971  0.07708304],[-0.55073317 -0.74700658  0.28264599],[-0.10774073  0.74222095  0.        ]
0.33000922203063965,[ 0.10920686 -0.84205446  0.83646635],[ 0.10635536 -0.753984    0.07591432],[-0.9554749  -0.15922823  0.3050776 ],[-0.11514856  0.74110783  0.        ]
0.335007905960083,[ 0.11128098 -0.84177975  0.83262636],[ 0.11189064 -0.75587911  0.0746122 ],[-0.56731788 -0.09853368  0.40826807],[-0.12301193  0.73984327  0.        ]
0.34002208709716797,[ 0.114468   -0.84155552  0.82847618],[ 0.11744327 -0.75773671  0.07307441],[-0.21296592 -0.36381328  0.47631748],[-0.13107179  0.73845798  0.        ]
0.34500885009765625,[ 0.11762014 -0.84133332  0.82422085],[ 0.12280328 -0.7596485   0.0713864 ],[-0.32988902 -0.30021006  0.38774831],[-0.13850315  0.73710032  0.        ]
0.35001134872436523,[ 0.12044775 -0.84110702  0.81967499],[ 0.12801019 -0.76153705  0.06947212],[-0.37648671 -0.24955414  0.32248306],[-0.14521774  0.73580691  0.        ]
0.35500550270080566,[ 0.12536409 -0.84021871  0.81368693],[ 0.1336304  -0.76318963  0.06586303],[ 0.31052236 -0.24645898  0.44798053],[-0.15213097  0.73440872  0.        ]
0.3600037097930908,[ 0.13023586 -0.83963358  0.808733  ],[ 0.13860524 -0.76496641  0.06337589],[ 0.80317363 -0.2546413   0.69123667],[-0.15798333  0.73317206  0.        ]
0.365006685256958,[ 0.13387553 -0.83935722  0.80354742],[ 0.14344969 -0.76717264  0.06065997],[ 0.19865259 -0.05363336  0.41047969],[-0.16131206  0.73244687  0.        ]
0.3700072765350342,[ 0.13793956 -0.83874964  0.79815208],[ 0.14818596 -0.76946762  0.05766465],[ 0.10896372 -0.13461589  0.52806991],[-0.16410601  0.73182595  0.        ]
0.37500429153442383,[ 0.14122889 -0.83833116  0.79258483],[ 0.15288193 -0.77180404  0.05431261],[-0.25894637 -0.09872592  0.37022645],[-0.16590241  0.7314208   0.        ]
0.380021333694458,[ 0.14394188 -0.83827077  0.78640487],[ 0.15746459 -0.77429601  0.05063806],[-0.3144015   0.04354974  0.35369376],[-0.16619335  0.73135475  0.        ]
0.3850226402282715,[ 0.14707351 -0.8377291   0.78047126],[ 0.16211822 -0.77642205  0.04650451],[-0.10906264  0.14027689  0.396469  ],[-0.16724719  0.73111448  0.        ]
0.39000725746154785,[ 0.15031385 -0.83722208  0.77272471],[ 0.16696833 -0.77843699  0.04040505],[-0.58964534  0.12002363  0.24922302],[-0.1669228   0.73118861  0.        ]
0.3950064182281494,[ 0.15352683 -0.83691095  0.76643997],[ 0.17142797 -0.78012532  0.03533262],[-0.00346801 -0.21681168  0.42879577],[-0.16769348  0.73101224  0.        ]
0.39999890327453613,[ 0.15651678 -0.83643751  0.75986977],[ 0.1757227  -0.78164364  0.02978688],[-0.49551588  0.27525934  0.22961338],[-0.16782525  0.730982    0.        ]
0.4050004482269287,[ 0.15928078 -0.83595067  0.75302904],[ 0.18003321 -0.78293475  0.02360837],[-0.1665882   0.11519428  0.38839957],[-0.16768162  0.73101496  0.        ]
0.4100010395050049,[ 0.16272406 -0.83555648  0.7458074 ],[ 0.18420257 -0.78377359  0.01682454],[-0.26770941  0.002881    0.3286601 ],[-0.16805878  0.73092835  0.        ]
0.41500067710876465,[ 0.16533216 -0.83503031  0.73833859],[ 0.18840743 -0.78466181  0.00964928],[-0.59607251  0.38747533  0.23797972],[-0.16777794  0.73099286  0.        ]
0.42000555992126465,[ 0.1689993  -0.83470505  0.72841477],[ 1.93083617e-01 -7.85066131e-01  3.39773877e-04],[-0.08052279 -0.64504145  0.39980896],[-0.16740408  0.73107857  0.        ]
0.42500758171081543,[ 0.17265324 -0.83620767  0.71740186],[ 0.19736167 -0.78594218 -0.00741692],[-0.43091307 -2.02516034  0.12711214],[-0.16746537  0.73106453  0.        ]
0.4300088882446289,[ 0.17548192 -0.83795571  0.70596807],[ 0.20120191 -0.78924339 -0.01364842],[ 0.14579159 -1.25271795 -0.07588833],[-0.16557912  0.73149406  0.        ]
0.4350147247314453,[ 0.18064561 -0.83862922  0.69575438],[ 0.20457832 -0.79435339 -0.01734335],[ 1.01138888 -1.33436985  0.26795399],[-0.16481935  0.73166562  0.        ]
0.440014123916626,[ 0.18300436 -0.83866705  0.68670528],[ 0.20766982 -0.80154296 -0.01872358],[ 0.1823285  -0.14265558 -0.42034723],[-0.16136513  0.73243518  0.        ]
0.4450075626373291,[ 0.18595586 -0.83867736  0.67771268],[ 0.20993932 -0.80864505 -0.01861597],[ 1.18619866 -1.37994829  0.24317455],[-0.15857288  0.73304477  0.        ]
0.4500117301940918,[ 0.18843331 -0.83898574  0.67048097],[ 0.21232964 -0.81650197 -0.01682842],[ 0.04837646 -0.80908372 -0.42458111],[-0.15612818  0.73356935  0.        ]
0.4550049304962158,[ 0.19129448 -0.83871446  0.66497294],[ 0.21282955 -0.82486573 -0.01430243],[ 2.23840119 -1.19684395  0.07940503],[-0.15108487  0.73462464  0.        ]
0.460003137588501,[ 0.19354553 -0.83786453  0.66120375],[ 0.21264998 -0.83203348 -0.0116881 ],[ 1.44570965  1.2406495  -0.15807838],[-0.14709128  0.73543467  0.        ]
0.46500611305236816,[ 0.1943223  -0.83627815  0.65718395],[ 0.21091621 -0.83834286 -0.01054057],[ 1.37857358  1.77219464 -0.16942555],[-0.14024896  0.73677013  0.        ]
0.4700052738189697,[ 0.1958759  -0.8365302   0.65166751],[ 0.20930446 -0.84294389 -0.01150793],[ 1.39358868 -0.82882301 -0.32546406],[-0.13535801  0.73768436  0.        ]
0.47501540184020996,[ 0.19678292 -0.83720115  0.64619708],[ 0.20817913 -0.84737029 -0.0133021 ],[ 1.01304866  0.35523264 -0.0424123 ],[-0.13074847  0.73851529  0.        ]
0.48001956939697266,[ 0.19845224 -0.83745486  0.63999921],[ 0.20723039 -0.85124591 -0.01565026],[1.57391441 0.66976011 0.0018882 ],[-0.12728243  0.73912055  0.        ]
0.4850010871887207,[ 0.20059258 -0.83779016  0.63418647],[ 0.20567161 -0.85490747 -0.01808495],[ 1.95859753 -0.01817788  0.07386237],[-0.12313515  0.73982277  0.        ]
0.490006685256958,[ 0.20330451 -0.83804013  0.62832012],[ 0.20408678 -0.85889906 -0.02024585],[ 1.56083856  0.15602606 -0.13112095],[-0.11801324  0.74065706  0.        ]
0.49500250816345215,[ 0.2052074  -0.83817194  0.62313825],[ 0.20334406 -0.86317814 -0.0212997 ],[1.39275828 0.64962629 0.09654519],[-0.11451268  0.74120634  0.        ]
0.5000030994415283,[ 0.20739421 -0.83851432  0.61843093],[ 0.20388214 -0.86772313 -0.02175831],[1.06174779 0.22639656 0.2169214 ],[-0.11249506  0.74151525  0.        ]
0.5050017833709717,[ 0.20994462 -0.83863512  0.61445554],[ 0.20559332 -0.87244253 -0.02165073],[0.87087751 0.58751271 0.38038985],[-0.1119735   0.74159418  0.        ]
0.5100016593933105,[ 0.21207623 -0.83869219  0.61101552],[ 0.20764482 -0.87715929 -0.02115275],[0.51938482 1.03285185 0.2992484 ],[-0.11144213  0.74167422  0.        ]
0.5150039196014404,[ 0.21440269 -0.83886325  0.60793952],[ 0.20955423 -0.88162807 -0.02041141],[0.83944653 0.70979799 0.34810047],[-0.1109183   0.74175274  0.        ]
0.5200047492980957,[ 0.21729689 -0.83853194  0.6059338 ],[ 0.21194309 -0.88614751 -0.01918377],[0.40305222 1.11048411 0.19589818],[-0.11043568  0.74182475  0.        ]
0.5250198841094971,[ 0.2197249  -0.83834307  0.60384265],[ 0.21419268 -0.89001239 -0.01844239],[0.72632154 1.11444511 0.50037877],[-0.11064166  0.74179406  0.        ]
0.5300030708312988,[ 0.22216038 -0.83844453  0.60174211],[ 0.21642926 -0.89338937 -0.01810351],[0.46861755 1.08197881 0.34895433],[-0.11106739  0.74173043  0.        ]
0.535001277923584,[ 0.22467607 -0.83818333  0.60034396],[ 0.21843685 -0.89635717 -0.01809006],[0.71558562 1.09877883 0.46438323],[-0.11138912  0.74168219  0.        ]
0.5400042533874512,[ 0.22677736 -0.83819395  0.59877173],[ 0.21979918 -0.89897475 -0.01831338],[0.60836994 1.22922299 0.23175291],[-0.11098959  0.74174208  0.        ]
0.5450046062469482,[ 0.22895057 -0.83814323  0.59762474],[ 0.22051122 -0.90108929 -0.01876082],[0.8590739  1.10197577 0.27775647],[-0.1102159   0.74185744  0.        ]
0.5500285625457764,[ 0.23094701 -0.83810724  0.59652262],[ 0.2208052  -0.90278393 -0.01934548],[0.83738189 1.03439892 0.16300116],[-0.10903627  0.74203173  0.        ]
0.5550110340118408,[ 0.23363714 -0.83783547  0.59574458],[ 0.22101905 -0.90387412 -0.01964648],[0.81349978 0.99174744 0.08964519],[-0.10788951  0.74219934  0.        ]
0.5600173473358154,[ 0.23562637 -0.83791287  0.59495186],[ 0.22074436 -0.90491673 -0.02002361],[1.16649217 0.55010649 0.20785419],[-0.10683356  0.74235207  0.        ]
0.565007209777832,[ 0.23776067 -0.83778535  0.59441487],[ 0.22041769 -0.90554182 -0.02025578],[1.12456541 0.62205134 0.18926878],[-0.10597936  0.74247449  0.        ]
0.5700037479400635,[ 0.23953994 -0.83753787  0.59439786],[ 0.22018597 -0.90598458 -0.02014122],[0.9504289  0.75785252 0.13859116],[-0.10506356  0.74260464  0.        ]
0.5750131607055664,[ 0.24176093 -0.83711244  0.59479789],[ 0.21992349 -0.90607666 -0.01977479],[1.23088618 0.59086647 0.23017676],[-0.10444468  0.74269193  0.        ]
0.580146074295044,[ 0.24395296 -0.83655907  0.59573359],[ 0.21972458 -0.90590427 -0.01942147],[0.84044421 0.62396774 0.07021267],[-0.10352533  0.74282064  0.        ]
0.5850033760070801,[ 0.24602459 -0.83597311  0.59685616],[ 0.21980413 -0.90514847 -0.01936632],[0.7243045  0.62516154 0.13192418],[-0.10288502  0.7429096   0.        ]
0.5900113582611084,[ 0.24899185 -0.83543088  0.59844685],[ 0.22052726 -0.90355558 -0.0189558 ],[0.62491493 0.39634591 0.09735174],[-0.10268727  0.74293696  0.        ]
0.595001220703125,[ 0.25124763 -0.83447841  0.59991296],[ 0.22125893 -0.90203375 -0.0189662 ],[0.63076405 0.52952294 0.15886895],[-0.10285574  0.74291365  0.        ]
0.6000075340270996,[ 0.25371289 -0.83341241  0.60157123],[ 0.22213117 -0.90009469 -0.01907161],[0.56049692 0.29089308 0.11540601],[-0.10324263  0.74285999  0.        ]
0.6050028800964355,[ 0.25637357 -0.83246134  0.60337384],[ 0.22311734 -0.89767038 -0.01930916],[ 6.29102371e-01 -2.38417327e-04  1.55331176e-01],[-0.10366996  0.74280047  0.        ]
0.6100015640258789,[ 0.25898678 -0.83137397  0.60537408],[ 0.22427511 -0.89495418 -0.01950253],[ 0.51687813 -0.06703522  0.11749135],[-0.10420361  0.7427258   0.        ]
0.6150162220001221,[ 0.26249637 -0.82987036  0.60728719],[ 0.22545974 -0.89192707 -0.01965425],[ 1.2277086  -0.19261833  0.53466999],[-0.10465422  0.74266244  0.        ]
0.6200089454650879,[ 0.26621848 -0.82863058  0.60928509],[ 0.22646286 -0.88876416 -0.01970647],[ 0.93785674 -0.6394829   0.17819703],[-0.10423582  0.74272128  0.        ]
0.6250061988830566,[ 0.27107409 -0.82698577  0.61204377],[ 0.22748644 -0.88490255 -0.01901333],[ 1.47912255 -0.61157698  0.51691839],[-0.10246358  0.74296784  0.        ]
0.6300132274627686,[ 0.27452889 -0.82503398  0.61524741],[ 0.22775015 -0.88178811 -0.01854018],[ 1.00753268 -0.32323555  0.20106971],[-0.09918241  0.74341297  0.        ]
0.6350135803222656,[ 0.27834231 -0.82335145  0.6182117 ],[ 0.22767277 -0.87858652 -0.01800393],[ 1.59553612 -0.85577449  0.46540762],[-0.094898    0.74397202  0.        ]
0.6400058269500732,[ 0.28201793 -0.82153694  0.62154487],[ 0.22711773 -0.87519106 -0.01763902],[ 1.31081926 -0.65013921  0.18583916],[-0.08913266  0.74468474  0.        ]
0.6450033187866211,[ 0.28560502 -0.81957947  0.6249248 ],[ 0.22590535 -0.8716106  -0.01749033],[ 1.78661983 -0.53122537  0.38179474],[-0.08148535  0.74556028  0.        ]
0.650005578994751,[ 0.28932613 -0.81757046  0.62817046],[ 0.22389478 -0.86772065 -0.01754209],[ 1.87029798 -0.9801506   0.20405006],[-0.07234862  0.7465023   0.        ]
0.6550016403198242,[ 0.29256036 -0.81565585  0.63261024],[ 0.22156104 -0.86328389 -0.01705295],[ 0.62086553 -0.85506601 -0.35675698],[-0.06089133  0.74752408  0.        ]
0.6600093841552734,[ 0.29383781 -0.81391141  0.63669505],[ 0.21929573 -0.85897111 -0.01736921],[ 0.67540661 -0.88865812 -0.31507351],[-0.05032371  0.74830978  0.        ]
0.6650059223175049,[ 0.29508938 -0.81230097  0.64072574],[ 0.21715909 -0.85392552 -0.01795149],[ 0.40434942 -1.03888038 -0.49410326],[-0.04101785  0.74887752  0.        ]
0.6700029373168945,[ 0.29638602 -0.81093255  0.64467304],[ 0.21508193 -0.84821036 -0.01868807],[ 0.6141073  -1.3116532  -0.49170299],[-0.03245693  0.74929737  0.        ]
0.6750032901763916,[ 0.2979854  -0.80968925  0.64867791],[ 0.21315652 -0.84185184 -0.01935794],[ 0.51156826 -1.42331917 -0.57368119],[-0.0252564   0.74957462  0.        ]
0.6800136566162109,[ 0.29916937 -0.80756126  0.65376366],[ 0.21157674 -0.8352466  -0.01971005],[ 0.38887248 -1.21075859 -0.44237588],[-0.01932144  0.74975108  0.        ]
