timestamps,pos_com_hist,pos_clear_hist,angmom_wb_hist
59.01897383,[-1.8499018  -0.87212362  0.53545824],[-1.89464021 -1.04260018  0.01579783],[0.05181708 0.05627003 0.30316798]
59.10500526,[-1.83651355 -0.80825878  0.53444667],[-1.87454613 -0.9791272   0.01438451],[0.05207214 0.033867   0.27654197]
59.1909833,[-1.82368493 -0.73926251  0.53335187],[-1.85624471 -0.91064239  0.01320569],[0.04739658 0.04295852 0.23215297]
59.27697158,[-1.81180177 -0.66619674  0.53231676],[-1.83958401 -0.8378784   0.01205382],[0.04061104 0.04069186 0.19342198]
59.36297035,[-1.80098065 -0.5897035   0.53114685],[-1.8242695  -0.76087233  0.01052324],[0.04598494 0.05467082 0.19549424]
59.44897866,[-1.79140927 -0.510133    0.53032522],[-1.8108882  -0.6814444   0.00966898],[ 0.04158512 -0.00704149  0.16844766]
59.534971,[-1.78291402 -0.4281339   0.52906034],[-1.7990693  -0.59858485  0.00826209],[0.02427155 0.04686256 0.12394039]
59.62098145,[-1.77544013 -0.34400629  0.52862596],[-1.78919094 -0.5144725   0.00782537],[0.00786866 0.03489149 0.07822482]
59.70701528,[-1.76867179 -0.25815286  0.52743682],[-1.78034891 -0.42833025  0.00687729],[0.00876915 0.01255591 0.09332541]
59.79300547,[-1.76272576 -0.17042136  0.52663468],[-1.77249973 -0.34002517  0.00597565],[0.02582901 0.02390271 0.10055343]
59.87895823,[-1.75732479 -0.08047148  0.52504967],[-1.76554899 -0.24974645  0.00464836],[0.03205596 0.05698119 0.09474376]
59.96499586,[-1.75253629  0.01125095  0.5243725 ],[-1.75939184 -0.15758683  0.00394702],[0.02459257 0.05288522 0.06659882]
60.05096531,[-1.74839139  0.10417324  0.5237021 ],[-1.75468463 -0.06457628  0.00330502],[0.00736255 0.04655754 0.0197501 ]
60.13698936,[-1.744538    0.19783551  0.52356219],[-1.75047394  0.0285173   0.00340618],[-0.00434776  0.08240619  0.02794298]
60.22296906,[-1.74133826  0.29297961  0.52217328],[-1.74647181  0.12379438  0.00213216],[0.00368659 0.02334064 0.03153628]
60.30897117,[-1.73865189  0.38982143  0.52142184],[-1.74266096e+00  2.20794485e-01  1.45731374e-03],[0.02019987 0.06317642 0.06145464]
60.39497399,[-1.73636475  0.48993725  0.52026346],[-1.73934172e+00  3.22464459e-01  3.60551680e-04],[0.01593781 0.07094191 0.0583904 ]
60.48100305,[-1.73437662  0.59453225  0.51942498],[-1.73660571e+00  4.27658663e-01 -2.54506837e-04],[0.00987973 0.08816818 0.0105523 ]
60.56699777,[-1.73251393  0.7037788   0.51912977],[-1.73477884e+00  5.37363857e-01 -2.79860036e-04],[ 0.00666284  0.09275305 -0.00606007]
60.65296626,[-1.73045487  0.81932454  0.53854562],[-1.73311754  0.65722418 -0.00827571],[0.06771313 0.45694781 0.05346444]
60.73897052,[-1.72943258  0.95725844  0.63911388],[-1.730782    0.8181169  -0.01020612],[0.1968356  1.26325625 0.06910064]
60.82496953,[-1.72756607  1.19569675  0.83927104],[-1.73149124  1.05520812 -0.01031336],[ 0.17150179  4.49037363 -0.08307879]
60.91098571,[-1.72263635  1.35213827  1.03687764],[-1.73317854  1.44643536  0.14325588],[ 0.07439785 -0.95360078 -0.16124428]
60.99695873,[-1.72026191  1.45639873  1.23004788],[-1.73014931  1.7243634   0.47900583],[ 0.16009086  0.21726692 -0.1032822 ]
61.083004,[-1.71865696  1.64151905  1.3663186 ],[-1.72459135  1.78569794  0.67663031],[ 0.00287378 -1.78807808 -0.00724448]
61.16899395,[-1.7155437   1.85081253  1.46590892],[-1.71820638  1.82597038  0.8506731 ],[0.04272251 1.40189202 0.0344931 ]
61.25496244,[-1.71230447  2.0512897   1.49532488],[-1.71492621  1.96836859  0.932048  ],[ 0.15916004  1.93282879 -0.12511984]
61.34096909,[-1.70609165  2.2057592   1.53000471],[-1.71372629  2.09950655  0.97082222],[-0.10804718  1.39994443 -0.22978084]
61.4269681,[-1.69980674  2.36378044  1.5429657 ],[-1.70964653  2.22699243  0.97665569],[-0.01763446  2.22150809 -0.15274779]
61.51297331,[-1.69538486  2.52332718  1.54122318],[-1.70288559  2.37120602  0.97869925],[0.21349124 0.83993132 0.18317083]
61.5989728,[-1.68996222  2.68463604  1.53286052],[-1.69916457  2.52805687  0.98140412],[ 0.06406062  0.38726131 -0.10052643]
61.6849997,[-1.68249018  2.84415941  1.52596233],[-1.69566625  2.68687552  0.98533259],[ 0.01389237  0.11234618 -0.16384362]
61.77097607,[-1.67300039  3.00272648  1.52430248],[-1.68945293  2.84628906  0.98908359],[-0.03000683  0.16046231 -0.12515893]
61.85696435,[-1.66198875  3.15628555  1.52642295],[-1.6805317   2.99966012  0.9924336 ],[-0.04043746  0.074063   -0.11963355]
61.94295883,[-1.64937821  3.30659793  1.52731325],[-1.66934416  3.14768085  0.99515557],[-0.14028383  0.24422186 -0.27168288]
62.02899194,[-1.63546239  3.45212729  1.53005401],[-1.65597243  3.29076715  0.99817493],[-0.16871118  0.14803898 -0.29061867]
62.11497927,[-1.62205762  3.59023702  1.53132204],[-1.63946204  3.42603337  0.99925446],[-0.06757232  0.09991513  0.0645267 ]
62.20095992,[-1.61175306  3.72385791  1.5329154 ],[-1.62163098  3.55821657  1.00097942],[0.06118933 0.08121116 0.28014426]
62.28699851,[-1.60402419  3.84870078  1.53227668],[-1.60858705  3.68390295  0.99977685],[ 0.0535341  -0.01979366  0.2371801 ]
62.37299705,[-1.59866942  3.9696817   1.53660076],[-1.59948912  3.81196154  0.99947997],[ 0.06277428 -0.53751336  0.15942009]
62.45900536,[-1.59468715  4.09173472  1.54250881],[-1.59301198  3.94848636  0.99686063],[ 0.07833014 -0.40036619  0.12774225]
62.54495907,[-1.59150199  4.22151711  1.54245212],[-1.58976035  4.08735846  0.99525906],[ 0.09847924 -0.19024477  0.12756957]
62.63097405,[-1.58896658  4.36793686  1.53809289],[-1.58886479  4.24242021  0.99430882],[ 0.10822668 -1.54783333  0.1235604 ]
62.71697688,[-1.58663182  4.52860712  1.53149176],[-1.5896443   4.40295649  0.99286801],[0.16758625 0.48029901 0.09897957]
62.80299807,[-1.58328662  4.70700269  1.52830481],[-1.59153052  4.57512931  0.98239849],[0.23979411 1.32992875 0.08153477]
62.88899875,[-1.57856254  4.89289089  1.47517786],[-1.60639881  4.85542105  0.75108778],[ 0.22173466  1.14426467 -0.0215373 ]
62.97500062,[-1.57540827  5.14758124  1.36097092],[-1.62633425  5.16066818  0.39418872],[ 0.11422602 -1.92215044 -0.11062026]
63.06100345,[-1.57578106  5.26225409  1.07277593],[-1.63470073  5.34787115  0.05612877],[ 0.10313303 13.72172606 -0.15402235]
63.14698076,[-1.57018463  5.40167658  0.83582604],[-1.63542258  5.35680175 -0.02613708],[ 1.61815003 -7.79151155 -0.27145295]
63.23300076,[-1.5526956   5.56834808  0.67106322],[-1.63185382  5.43299134 -0.05098666],[ 1.07363853 -0.52579847 -0.07215687]
63.31901121,[-1.51657148  5.74032034  0.56753766],[-1.61846741  5.60887084 -0.05666647],[ 0.45469682 -0.42582597 -0.77008575]
63.40495753,[-1.45765613  5.90812578  0.49240338],[-1.58410229  5.79618934 -0.06044265],[-0.58945821 -0.97381456 -2.25639726]
63.49099565,[-1.38065549  6.05644123  0.46010421],[-1.51491494  5.96162829 -0.05593134],[-0.86112842 -0.09147342 -2.05159817]
63.57699537,[-1.299858    6.19519087  0.47090607],[-1.42120755  6.08006347 -0.04004074],[-0.37012074  0.27438974 -0.08802674]
63.66299486,[-1.22530604  6.32846747  0.48911164],[-1.32335546  6.18365763 -0.03026221],[-0.20360197  0.06315954  0.57268203]
63.74900055,[-1.1588932   6.45908471  0.50185821],[-1.23380436  6.29637982 -0.01855386],[-0.1421903  -0.03060108  0.43280609]
63.83500338,[-1.09959531  6.58759411  0.50429169],[-1.15613479  6.41281647 -0.0102247 ],[-0.14501572 -0.17259265  0.40173216]
63.9209857,[-1.05100964  6.71468457  0.51251944],[-1.08903170e+00  6.52979102e+00  2.32828356e-04],[-0.09058343 -0.00869615  0.52047944]
64.00696564,[-1.01231209  6.84309286  0.52090883],[-1.03121898  6.65068866  0.00978325],[-0.05756956 -0.06479737  0.55538928]
64.09296608,[-0.98507137  6.96967162  0.52673008],[-0.98502078  6.77257471  0.01674836],[-0.04785321 -0.04318624  0.582529  ]
64.17899776,[-0.97077764  7.0964113   0.53062619],[-0.95044711  6.89676647  0.02161954],[-0.0072512  -0.12925096  0.66108022]
64.26501155,[-0.96800189  7.22474936  0.53607764],[-0.9264283   7.02643508  0.02786111],[ 6.46693545e-04 -5.19481712e-02  6.75165562e-01]
64.35099149,[-0.97984128  7.35125951  0.53562345],[-0.91728487  7.15433887  0.02927387],[ 0.00931842 -0.07750062  0.68913904]
64.43699551,[-1.00607482  7.4782188   0.5387332 ],[-0.92149191  7.28658616  0.03367159],[ 0.02594176 -0.12549439  0.75099667]
64.52300477,[-1.04642629  7.60062707  0.53555312],[-0.94152613  7.41945583  0.03092857],[ 0.06820388 -0.23469397  0.81048333]
64.60939598,[-1.10124108  7.71871914  0.53178056],[-0.97733878  7.5521052   0.02719573],[ 0.09429632 -0.24283083  0.82995314]
64.69496751,[-1.16952175  7.83212123  0.53133796],[-1.02972827  7.68271621  0.0265432 ],[ 0.10918188 -0.22864098  0.81249879]
64.78100181,[-1.25127946  7.93515379  0.52683681],[-1.09827008  7.80440341  0.02173725],[ 0.09782241 -0.16454076  0.75600222]
64.86800909,[-1.34511275  8.03269398  0.52586321],[-1.18158516  7.91949543  0.02098242],[ 0.09487296 -0.19063808  0.73441736]
64.95399904,[-1.44805691  8.11702033  0.52181867],[-1.27644566  8.02228058  0.01701839],[ 0.10011936 -0.16601024  0.7227751 ]
65.03995919,[-1.55990873  8.19300765  0.52013731],[-1.38355032  8.11650439  0.01484987],[ 0.10287213 -0.18700988  0.73333509]
65.12599397,[-1.6792651   8.25823491  0.51666232],[-1.49933743  8.20087776  0.01117689],[ 0.08327247 -0.16054586  0.67202545]
65.21196127,[-1.80680745  8.30961658  0.51375818],[-1.62339476  8.27113931  0.00922929],[ 0.05661806 -0.12590715  0.64019824]
65.29796052,[-1.93945539  8.34756115  0.51252754],[-1.75555470e+00  8.32850455e+00  7.74256167e-03],[ 0.05851646 -0.13471545  0.68078083]
65.38397694,[-2.07633558  8.37198104  0.51052538],[-1.89233765e+00  8.37304976e+00  6.87379013e-03],[ 0.11952052 -0.22337539  0.79061968]
65.46999693,[-2.2187406   8.38089353  0.50929129],[-2.03850721e+00  8.40301774e+00  5.54691925e-03],[ 0.17803321 -0.207994    0.83826813]
65.55596089,[-2.36465287  8.37627097  0.50857615],[-2.19198623e+00  8.41755247e+00  3.46705394e-03],[ 0.27097741 -0.25192118  0.90657862]
65.64201045,[-2.516141    8.36185066  0.50893401],[-2.35299689e+00  8.41780317e+00  8.32895035e-04],[ 0.30791087 -0.19142387  0.79605182]
65.72801018,[-2.67285878  8.33335793  0.50937371],[-2.51845011e+00  8.39839884e+00 -2.52161968e-03],[ 0.2980608  -0.13931817  0.58161436]
65.81397676,[-2.83351893  8.29664004  0.50917709],[-2.68364140e+00  8.36531547e+00 -5.49459383e-03],[0.23355004 0.10458477 0.35137329]
65.8999958,[-2.99732156  8.25156415  0.50868637],[-2.84745013e+00  8.32125481e+00 -6.56947467e-03],[0.12915732 0.18051692 0.14146823]
65.98600364,[-3.1577431   8.20307116  0.50789144],[-3.00619886e+00  8.27232266e+00 -6.82571088e-03],[0.04746343 0.26635525 0.04830404]
66.07199144,[-3.31354894  8.15080905  0.50598324],[-3.16088597e+00  8.22122865e+00 -7.74592924e-03],[0.03302006 0.36129638 0.08612701]
66.15798163,[-3.46138805  8.09637667  0.50571937],[-3.30874312e+00  8.16971631e+00 -7.35656237e-03],[0.04923294 0.18283661 0.19672701]
66.24400067,[-3.60136447  8.03997288  0.49822252],[-3.45149420e+00  8.11641897e+00 -7.12690086e-03],[-0.04541085 -0.30015618  0.03719973]
66.33001852,[-3.7295496   7.98380173  0.4882739 ],[-3.58375352  8.06048678 -0.01141249],[-0.08483956 -0.11790061  0.05812096]
66.41599202,[-3.83928803  7.92666102  0.49169266],[-3.6961004   8.00878334 -0.00891038],[-0.03898758  0.03109262  0.24515079]
66.50196147,[-3.93623812  7.8694671   0.49091247],[-3.79957895  7.96012197 -0.01054836],[-0.00852045 -0.0358425   0.44224985]
66.5879612,[-4.02038681  7.8076767   0.49088384],[-3.89249386  7.90858087 -0.01089734],[0.00593332 0.0239189  0.49176703]
66.67396903,[-4.09520301  7.74274109  0.49296453],[-3.97835239  7.85343762 -0.0109176 ],[ 0.03131877 -0.04235658  0.53136926]
66.75996947,[-4.1620332   7.67220605  0.49423262],[-4.05678586  7.79240961 -0.01060058],[ 0.04819593 -0.0523795   0.57128926]
66.84595847,[-4.22208691  7.59808993  0.49569726],[-4.12943492  7.72682755 -0.01005989],[ 0.05682496 -0.06369142  0.60818641]
66.93195939,[-4.27512734  7.52087894  0.49658839],[-4.19625907  7.65717787 -0.01022546],[ 0.09487996 -0.10817014  0.65156658]
67.01800919,[-4.32227469  7.43797515  0.49656765],[-4.25726312  7.58044228 -0.0109109 ],[ 0.12680303 -0.14017954  0.67070648]
67.10399485,[-4.36298078  7.35236252  0.49721365],[-4.31191501  7.49963988 -0.0111535 ],[ 0.14037901 -0.07216916  0.64455538]
67.18995833,[-4.39618545  7.26196764  0.49810001],[-4.35776105  7.41300731 -0.01116841],[ 0.15828775 -0.04428497  0.6183493 ]
67.27601099,[-4.42311377  7.16811457  0.49968372],[-4.39549235  7.32168254 -0.01142157],[0.12989129 0.03557851 0.49576055]
67.3619945,[-4.44596673  7.06984609  0.50122802],[-4.42649168  7.22503991 -0.01105727],[ 0.11468384 -0.00806456  0.43942529]
67.44799995,[-4.46371856  6.96473689  0.50160727],[-4.45196106  7.12102604 -0.01106961],[0.11362854 0.00234119 0.39552073]
67.53399539,[-4.47950794  6.85365627  0.50297966],[-4.4728505   7.01104651 -0.01007243],[0.10072704 0.04477638 0.3013278 ]
67.61996794,[-4.49249527  6.73549711  0.50419443],[-4.4888765   6.89411072 -0.00906552],[0.09751089 0.01595519 0.2376965 ]
67.70597172,[-4.50396184  6.61104892  0.50416166],[-4.50158273  6.77023259 -0.00952845],[0.07495254 0.04570175 0.13947829]
67.79197574,[-4.51470108  6.47983679  0.50464166],[-4.51165799  6.63968117 -0.00932275],[0.05016052 0.08084629 0.05051963]
67.87797379,[-4.52336158  6.34253662  0.50510368],[-4.52014464  6.50241913 -0.00904416],[0.02724284 0.14036575 0.03127257]
67.96399498,[-4.53074833  6.19944677  0.50546495],[-4.5280436   6.35937952 -0.00888131],[0.01326082 0.15355905 0.03453675]
68.05096126,[-4.5374007   6.04975906  0.50632815],[-4.5355594   6.21062312 -0.00765494],[0.0043603  0.18790545 0.03828392]
68.13700652,[-4.54276826  5.89819911  0.50750393],[-4.54198260e+00  6.06037737e+00 -5.85898860e-03],[0.00489944 0.13204244 0.0346368 ]
68.22300887,[-4.54748194  5.74526352  0.50850032],[-4.54788021e+00  5.90852916e+00 -4.43686290e-03],[0.00605739 0.08479569 0.05791508]
68.30897069,[-4.55129586  5.59128179  0.50852327],[-4.55317226e+00  5.75404649e+00 -4.60765341e-03],[0.0156306  0.05080749 0.07035576]
68.39495707,[-4.55361228  5.43686488  0.50866825],[-4.55643274e+00  5.59960733e+00 -4.69220314e-03],[0.0272015  0.02623207 0.0719819 ]
68.4809916,[-4.55535229  5.28257931  0.50828717],[-4.55893175  5.44482561 -0.00562012],[0.03928999 0.02125832 0.08177945]
68.56697011,[-4.55576755  5.12801496  0.50889877],[-4.55944789  5.29019842 -0.00535196],[0.04321232 0.14903647 0.05317492]
68.65297079,[-4.55712939  4.97393449  0.5102565 ],[-4.55979342e+00  5.13708236e+00 -4.08685165e-03],[0.04548543 0.07933629 0.02570983]
68.73899317,[-4.55813327  4.81894747  0.51108079],[-4.55886191e+00  4.98290890e+00 -3.62847183e-03],[ 0.03737873  0.1054793  -0.00220652]
68.82497334,[-4.56090792  4.6628259   0.51219282],[-4.55919375e+00  4.82778406e+00 -2.81549523e-03],[ 0.03879288  0.13839642 -0.02135767]
68.91097999,[-4.56370994  4.50549791  0.5134967 ],[-4.55944874e+00  4.67197946e+00 -1.62159644e-03],[ 0.02300965  0.15164802 -0.04374568]
68.99697304,[-4.56684924  4.34641682  0.51404504],[-4.56022380e+00  4.51377155e+00 -1.27772655e-03],[ 0.01559414  0.16688984 -0.05505277]
69.08297086,[-4.57148001  4.18612384  0.51471275],[-4.56237419e+00  4.35383311e+00 -8.35335430e-04],[ 0.01340714  0.13994127 -0.07407408]
69.16897225,[-4.57758762  4.0242171   0.51619496],[-4.56567744e+00  4.19243153e+00  3.08655875e-04],[-0.00556745  0.11560861 -0.08288173]
69.25498462,[-4.5855068   3.86061176  0.51617719],[-4.57110341e+00  4.02886126e+00 -3.90570802e-05],[-0.01700902  0.11281558 -0.09814274]
69.34097195,[-4.59512517  3.69430442  0.51606034],[-4.57864474e+00  3.86214872e+00 -3.00273148e-04],[-0.02533268  0.15542941 -0.10894472]
69.42696857,[-4.60681187  3.52504601  0.51675878],[-4.58889648e+00  3.69257454e+00 -4.69772212e-05],[-0.04835611  0.17507524 -0.09028061]
69.5129714,[-4.61980355  3.35405823  0.51736122],[-4.60126669e+00  3.52125865e+00  3.10803238e-04],[-0.04234445  0.14478846 -0.07497344]
69.59898162,[-4.63344219  3.18493778  0.51763456],[-4.61542271e+00  3.35171824e+00  7.92436663e-04],[-0.01636375  0.1083653  -0.00580457]
69.68499613,[-4.64698592  3.01831846  0.51829446],[-4.62991864e+00  3.18405691e+00  1.07153408e-03],[-0.00661702  0.0890897  -0.00563142]
69.77100062,[-4.6610141   2.85469825  0.51789405],[-4.64429264e+00  3.02082839e+00  1.95291843e-03],[-0.0133026   0.11630665 -0.01108587]
69.85697246,[-4.67503404  2.69496467  0.51752278],[-4.65825158e+00  2.86172860e+00  2.80298276e-03],[-0.02440903  0.11008822 -0.03793857]
69.94296908,[-4.68914828  2.53850287  0.51815432],[-4.67254164e+00  2.70540414e+00  3.66458692e-03],[-0.02597706  0.12046612 -0.03469146]
70.02896953,[-4.70347007  2.38409665  0.51846385],[-4.68736101e+00  2.55069036e+00  4.03186237e-03],[-0.02612261  0.052362   -0.02536306]
70.11497641,[-4.71754958  2.23057689  0.51947955],[-4.70248657  2.3972178   0.00510237],[-0.02748232  0.04391988  0.00528872]
70.20097089,[-4.73155653  2.07643877  0.51947853],[-4.71789569e+00  2.24181403e+00  4.50989678e-03],[-0.02141666  0.10134514  0.00709645]
70.28697157,[-4.74503366  1.92065114  0.51976328],[-4.73280384e+00  2.08510879e+00  4.51031115e-03],[-0.02087213  0.069479    0.01019141]
70.37297106,[-4.75796773  1.76265128  0.5201685 ],[-4.74763895e+00  1.92636266e+00  4.70474286e-03],[-0.02000365  0.0424673   0.05141613]
70.45897079,[-4.76938765  1.60207295  0.52001214],[-4.76166869e+00  1.76474215e+00  4.20046889e-03],[-0.00331353  0.10777195  0.06741458]
70.54497743,[-4.77974952  1.43910276  0.52126487],[-4.77427723  1.60173091  0.00545646],[-0.00178061  0.10653572  0.06959428]
70.63097429,[-4.78892924  1.27442019  0.52264571],[-4.78550476  1.43664801  0.00661328],[0.00679309 0.00729702 0.06909782]
70.71698451,[-4.79717745  1.10717468  0.52336256],[-4.79531374  1.26915376  0.00711251],[0.00715514 0.1472204  0.06248831]
70.80297136,[-4.80455416  0.93824318  0.52471393],[-4.80369522  1.10040495  0.00837408],[-0.00658528  0.13718367  0.04397828]
70.888973,[-4.80979818  0.76757061  0.52509441],[-4.81046749  0.92993192  0.00894798],[-0.01646013  0.18461177  0.0434315 ]
70.97497225,[-4.81326536  0.59690011  0.5264502 ],[-4.81602799  0.75980428  0.01059549],[0.0031628  0.1543855  0.08628648]
71.06096172,[-4.81500674  0.42833515  0.52846347],[-4.82016916  0.59215432  0.0127943 ],[0.04498136 0.1198113  0.13819844]
71.14699435,[-4.81483635  0.26307509  0.52944509],[-4.82135871  0.42677847  0.01325208],[0.06627683 0.09944649 0.11017076]
71.23300743,[-4.81421877  0.10252228  0.52740347],[-4.82002798  0.26491248  0.01397194],[-0.17285713  0.02128441 -0.54221017]
71.31900764,[-4.81436008 -0.0523118   0.52467588],[-4.81949175  0.10443652  0.01402624],[-0.29209172  0.03015847 -0.26615725]
71.40499353,[-4.80896916 -0.20035901  0.52567938],[-4.82772308 -0.0472678   0.01514648],[-0.10234948  0.34211869  0.36152209]
71.49100089,[-4.79679849 -0.34217001  0.5275215 ],[-4.83113065 -0.19248287  0.01780087],[-0.12640208 -0.23570255  0.26916831]
71.57695723,[-4.77724878 -0.47842862  0.52869546],[-4.82725658 -0.33428013  0.01880627],[-0.1044715  -0.02101017  0.35191245]
71.66297174,[-4.74850289 -0.60930353  0.52933172],[-4.81634044 -0.47320742  0.01944564],[-0.06347887 -0.06028769  0.48698486]
71.7489593,[-4.71053636 -0.73585423  0.52858147],[-4.79670903 -0.60924068  0.019563  ],[-0.03873923 -0.07624826  0.55649473]
71.83496213,[-4.66162812 -0.85834198  0.52943936],[-4.76568274 -0.74264026  0.02090414],[-0.02814927 -0.02173798  0.6009814 ]
71.92097139,[-4.6000678  -0.97635258  0.5300078 ],[-4.72249691 -0.87538855  0.02172448],[ 0.01244414 -0.09120642  0.68876989]
72.00700164,[-4.52592508 -1.0892085   0.53078829],[-4.66516974 -1.00452187  0.02323726],[ 0.01838614 -0.13459031  0.70096298]
72.09299469,[-4.43902211 -1.19520984  0.53201901],[-4.59331257 -1.12858949  0.02499943],[ 0.03117743 -0.12363172  0.7219908 ]
72.17900062,[-4.33998046 -1.2935224   0.53314303],[-4.50643439 -1.24713963  0.02529256],[ 0.06103011 -0.17218235  0.76010943]
72.26496053,[-4.22883113 -1.38251527  0.53390211],[-4.40492078 -1.35665983  0.02577761],[ 0.07854224 -0.25046938  0.77393359]
72.35100174,[-4.10650243 -1.46049803  0.53438186],[-4.28875229 -1.45632375  0.02565501],[ 0.09640571 -0.20026338  0.76090712]
72.43699574,[-3.97491283 -1.52628494  0.53385745],[-4.15949071 -1.54318862  0.02448196],[ 0.11547336 -0.22065131  0.7436597 ]
72.52297282,[-3.83529804 -1.57891969  0.53362055],[-4.01945209 -1.61578429  0.02359611],[ 0.12997725 -0.30131471  0.76238889]
72.60896373,[-3.68854077 -1.61789645  0.53453435],[-3.8695234  -1.67320598  0.02341348],[ 0.16845364 -0.32996428  0.78359748]
72.69496679,[-3.53306505 -1.64356568  0.53486993],[-3.70851399 -1.7147833   0.02253018],[ 0.22332613 -0.17367316  0.7792194 ]
72.78096604,[-3.36980588 -1.65605579  0.53690989],[-3.53914116 -1.7373746   0.02287067],[ 0.27249262 -0.07712206  0.71246009]
72.8669591,[-3.20292065 -1.65584132  0.53862555],[-3.36712186 -1.74200823  0.02339855],[0.26844081 0.00748418 0.59290766]
72.95297217,[-3.03796615 -1.64454217  0.53908643],[-3.19937922 -1.73146673  0.02412294],[0.24590425 0.08735913 0.43138754]
73.0389719,[-2.87850479 -1.62493664  0.53683034],[-3.03779138 -1.71048045  0.02456876],[ 0.18803211 -0.10017272  0.35158869]
73.12497783,[-2.72658595 -1.59926737  0.53031923],[-2.88606939 -1.6841845   0.02703058],[ 0.09159025 -0.19845202  0.12338252]
73.21098042,[-2.59182188 -1.56897435  0.52226989],[-2.74798534 -1.65592279  0.02379973],[ 0.04419229 -0.01105265  0.23530965]
73.29697466,[-2.47792286 -1.53375711  0.52742569],[-2.63348502 -1.62745281  0.0275846 ],[0.0788136  0.05463372 0.38616612]
73.38296723,[-2.38215381 -1.49593255  0.52907307],[-2.5324162  -1.59712104  0.0263598 ],[ 0.09562237 -0.02054276  0.47358165]
73.46897054,[-2.30193719 -1.45678988  0.53090929],[-2.44611553 -1.5646632   0.02552431],[0.11754681 0.04868524 0.5045935 ]
73.55497408,[-2.23600624 -1.41526704  0.53343842],[-2.37253069 -1.52992414  0.0239676 ],[0.09814108 0.02161349 0.51178936]
73.64097142,[-2.17962923 -1.3726596   0.53491235],[-2.3093877  -1.49449473  0.02307527],[0.09779654 0.06217874 0.52030922]
73.72696948,[-2.13147205 -1.32856817  0.53562686],[-2.25372939 -1.45754347  0.02190846],[0.09429937 0.09605708 0.5386734 ]
73.81297159,[-2.08916042 -1.28272385  0.53596448],[-2.20405335 -1.41929696  0.02161807],[0.08427227 0.00584899 0.52088097]
73.89897108,[-2.05234048 -1.23520123  0.53526065],[-2.15875855 -1.37836907  0.02064758],[0.10002469 0.02717036 0.50994419]
73.98497009,[-2.01952293 -1.18585383  0.53434373],[-2.11732015 -1.33522752  0.01985261],[0.07629872 0.05569942 0.49945936]
74.07096767,[-1.9917055  -1.13526963  0.53389529],[-2.08042347 -1.29048461  0.01931853],[0.07512846 0.02363062 0.50252045]
74.15697002,[-1.96753804 -1.08448159  0.53342572],[-2.04718544 -1.24473293  0.01879683],[0.07043913 0.03442796 0.48101425]
74.24296856,[-1.9474234  -1.03363902  0.53343434],[-2.01784628 -1.19841982  0.01846089],[0.06681916 0.0462958  0.44129417]
74.32897496,[-1.93145579 -0.98162222  0.53314126],[-1.99206484 -1.15001848  0.01773586],[ 8.31255244e-02 -2.56254137e-04  4.54656107e-01]
74.41497636,[-1.91715199 -0.92713487  0.53247464],[-1.96833498 -1.09770142  0.01694808],[ 0.09539532 -0.02960048  0.44531912]
74.50097013,[-1.90476075 -0.86932493  0.53222883],[-1.9472543  -1.04118899  0.01646558],[0.06989056 0.00163445 0.37371295]
74.58696914,[-1.89317759 -0.80627076  0.53103369],[-1.9276263  -0.97804001  0.01463413],[ 0.05559657 -0.03249023  0.33169268]
74.67297435,[-1.88255399 -0.73793848  0.5302136 ],[-1.91029132 -0.90951931  0.0133675 ],[0.04973453 0.01539886 0.28395366]
74.75897503,[-1.87285105 -0.66450154  0.52906327],[-1.89495012 -0.83526139  0.01169118],[0.05075515 0.01563965 0.22632496]
74.84497809,[-1.8643606  -0.58678234  0.52819192],[-1.8821663  -0.75707339  0.01064881],[0.03010737 0.0459765  0.18286222]
74.93099022,[-1.8569048  -0.50650079  0.52751253],[-1.87102303 -0.67666737  0.0098278 ],[0.04222908 0.02666585 0.17063751]
75.01697993,[-1.8504709  -0.4238039   0.52685857],[-1.86203716 -0.59384121  0.00919613],[0.01816071 0.10787774 0.10561219]
75.10297394,[-1.84471824 -0.33964132  0.52584884],[-1.85458692 -0.50950153  0.00786723],[0.01894598 0.0032029  0.05184965]
75.18896937,[-1.83974282 -0.25384352  0.52465064],[-1.84801111 -0.42322689  0.00653184],[0.02013207 0.07468255 0.07611549]
75.27497101,[-1.83547522 -0.16633538  0.52409614],[-1.84224761 -0.33476998  0.00561149],[0.02063254 0.05669388 0.09318107]
75.36096978,[-1.83163774 -0.07697328  0.52301836],[-1.83721272 -0.24530791  0.00473372],[0.02488554 0.0712374  0.08181066]
75.44696879,[-1.82850922  0.01376784  0.52276447],[-1.8331498  -0.15481735  0.0046849 ],[0.01337821 0.0641118  0.04699233]
75.53297281,[-1.82576523  0.10584022  0.52174001],[-1.82992253 -0.06251056  0.00362602],[0.00815049 0.0151065  0.02387212]
75.61896944,[-1.82356648  0.19891169  0.52117525],[-1.82709637  0.0305977   0.00303121],[0.01216309 0.06979906 0.0335369 ]
75.70497155,[-1.82164648  0.29343574  0.52018837],[-1.82462155  0.12601682  0.00183459],[0.00689231 0.06254731 0.03031034]
75.79097939,[-1.81990933  0.3900653   0.52025138],[-1.82250657  0.22307963  0.00191248],[0.00732209 0.07702367 0.02705494]
