timestamps,pos_com_hist,pos_clear_hist,angmom_wb_hist
3.869991541,[-1.56104646  5.90592604  0.51114274],[-1.63914844  5.76235951 -0.01964416],[-0.78826992 -1.01805693 -1.61581268]
3.955993176,[-1.51356023  6.05980024  0.4933107 ],[-1.59069289  5.90748908 -0.0165352 ],[-0.7758225   0.05104429 -0.42881319]
4.041977167,[-1.4729077   6.21056276  0.50186445],[-1.52453059  6.03583587 -0.01051501],[-0.39880489  0.0529874   0.66462221]
4.127970219,[-1.44077539  6.35686784  0.51122419],[-1.46626068e+00  6.16889496e+00 -5.73508855e-03],[-0.16391694  0.03819869  0.60158378]
4.213973761,[-1.41718116  6.49855163  0.50993671],[-1.42070791e+00  6.30625586e+00 -5.06196485e-03],[-0.13308417 -0.10442811  0.50230661]
4.299972773,[-1.40398395  6.63841012  0.50800467],[-1.38738021e+00  6.44297037e+00 -3.76054549e-03],[-0.07483876 -0.04404805  0.50606921]
4.385972738,[-1.40289105  6.77490875  0.50908256],[-1.36648480e+00  6.57765707e+00 -9.00006343e-04],[-0.04302941 -0.06213233  0.59053765]
4.471971989,[-1.41381067  6.90967614  0.51030474],[-1.35625218e+00  6.71370252e+00  1.73251616e-03],[-0.02701717 -0.09774295  0.62924547]
4.557968616,[-1.439525    7.04089891  0.51046533],[-1.35974192e+00  6.84980372e+00  3.08100805e-03],[ 0.00566267 -0.150652    0.68480894]
4.643967867,[-1.47836671  7.1695565   0.51155577],[-1.37786489e+00  6.98734045e+00  4.81670157e-03],[ 0.05548315 -0.14511447  0.75100879]
4.729968309,[-1.52872423  7.29493174  0.51288052],[-1.41066888e+00  7.12493267e+00  5.86612540e-03],[ 0.07826831 -0.16463211  0.78888324]
4.815977573,[-1.59441094  7.41565884  0.51258077],[-1.45995336e+00  7.25943259e+00  6.16119485e-03],[ 0.09051972 -0.21603243  0.73735994]
4.901973724,[-1.67278482  7.53146516  0.51321092],[-1.52507808e+00  7.38978932e+00  7.14910745e-03],[ 0.08170372 -0.11433579  0.68119897]
4.987973928,[-1.76201645  7.6396393   0.51339124],[-1.60369157e+00  7.51430936e+00  7.04142190e-03],[ 0.06100512 -0.18595927  0.65335757]
5.073971033,[-1.86294624  7.73814569  0.51335386],[-1.69637767e+00  7.63107256e+00  6.19772190e-03],[ 0.07351013 -0.2657966   0.67953131]
5.159972429,[-1.97391053  7.82579297  0.51199928],[-1.80017128e+00  7.73788235e+00  4.51186195e-03],[ 0.06658195 -0.18297969  0.67230799]
5.245970011,[-2.09440889  7.90440097  0.51139313],[-1.91471797e+00  7.83469591e+00  3.73025156e-03],[ 0.05784266 -0.11702467  0.66955307]
5.331974745,[-2.22427098  7.97017693  0.51178359],[-2.04024651e+00  7.91947358e+00  3.36631868e-03],[ 0.07367612 -0.12899311  0.68752023]
5.417978525,[-2.36171065  8.02526267  0.51170177],[-2.17502096e+00  7.99318095e+00  2.77605771e-03],[ 0.06733284 -0.13627821  0.69568006]
5.503973722,[-2.5068745   8.06599377  0.5117691 ],[-2.32145253e+00  8.05438855e+00  1.34790661e-03],[ 0.08201936 -0.22896887  0.72676425]
5.589974165,[-2.65929763  8.08871881  0.51026146],[-2.47744032e+00  8.09898439e+00 -2.20147190e-04],[ 0.12736817 -0.18239297  0.76858277]
5.675976038,[-2.81828762  8.09466566  0.50991748],[-2.64305487e+00  8.12551035e+00 -7.11315699e-04],[ 0.17519412 -0.2395139   0.78830727]
5.761976719,[-2.98477519  8.08584931  0.50940705],[-2.81498579e+00  8.13387941e+00 -9.41702033e-04],[ 0.24015874 -0.11863383  0.80545885]
5.847971678,[-3.15451722  8.06775544  0.51054989],[-2.99360875e+00  8.12905290e+00 -2.66605692e-03],[ 0.28504562 -0.03211556  0.72895634]
5.933971643,[-3.32369639  8.03646982  0.51195395],[-3.16737323e+00  8.10711964e+00 -2.20052674e-03],[0.24482496 0.06281039 0.5179918 ]
6.019975424,[-3.48330335  7.9986732   0.50850382],[-3.33057036e+00  8.07380718e+00 -3.75565149e-03],[ 0.19134056 -0.0351831   0.40886402]
6.105970144,[-3.63342561  7.95532952  0.49830103],[-3.48353547e+00  8.03082563e+00 -5.78816609e-03],[-0.02348762 -0.52369045 -0.04186997]
6.191972971,[-3.76791385  7.9096706   0.48464631],[-3.62161562  7.9856011  -0.01124721],[-0.0483735  -0.68284971  0.21084308]
6.277970791,[-3.88606769  7.85705498  0.48830304],[-3.74523193  7.94284724 -0.01070725],[0.05071331 0.0822685  0.57447478]
6.363958597,[-3.98874094  7.79918461  0.49001564],[-3.85814886  7.89613851 -0.01162611],[ 0.04292212 -0.15306653  0.58733124]
6.449999094,[-4.07979795  7.73478747  0.49152025],[-3.95879912  7.84215488 -0.01113615],[0.06584626 0.38528555 0.5478703 ]
6.535998583,[-4.15985541  7.66627381  0.49324616],[-4.0500057   7.78313217 -0.01071869],[ 0.03301471 -0.01882267  0.53679371]
6.621977091,[-4.23108462  7.58923728  0.49430918],[-4.13401756  7.71538081 -0.01121873],[0.06792182 0.01446446 0.62126605]
6.707962275,[-4.29332853  7.50933533  0.49542108],[-4.2111851   7.64301793 -0.0114175 ],[ 0.06981857 -0.10431136  0.65088172]
6.793997526,[-4.34706926  7.42393569  0.49558057],[-4.28086313  7.56454529 -0.01186964],[ 0.10760145 -0.09567136  0.71569956]
6.879997253,[-4.39192836  7.32826116  0.49580069],[-4.34266742  7.47434477 -0.01248298],[ 0.1450633  -0.1310718   0.76538661]
6.965972424,[-4.42961928  7.23192118  0.49642596],[-4.39539037  7.38207211 -0.01258971],[ 0.16972319 -0.08318833  0.75076625]
7.051967859,[-4.45899261  7.129338    0.49721665],[-4.43799277  7.28285822 -0.01245323],[ 0.20744029 -0.09358951  0.72279449]
7.137969732,[-4.4818262   7.02408918  0.4993478 ],[-4.47068408  7.17970769 -0.01129919],[ 0.17144271 -0.03466102  0.49345051]
7.223998547,[-4.49876218  6.91325601  0.50105312],[-4.49440843  7.06960654 -0.01063024],[0.16176593 0.05512259 0.37277114]
7.309978008,[-4.51286713  6.79718336  0.50241575],[-4.51249458  6.95445136 -0.00995124],[0.1469362  0.03494814 0.30859229]
7.395972729,[-4.52438117  6.6747925   0.50351015],[-4.52603169  6.83252924 -0.00958   ],[0.11191042 0.02744323 0.21229815]
7.481974125,[-4.53408868  6.54602621  0.5041814 ],[-4.5357391   6.70509743 -0.00902221],[0.05727513 0.05140274 0.093491  ]
7.567973137,[-4.54102285  6.41090956  0.50468429],[-4.54263459  6.56980284 -0.00902221],[0.04063765 0.06257315 0.07390279]
7.653967619,[-4.54671164  6.26966732  0.5049381 ],[-4.54892667  6.42856169 -0.0089404 ],[0.03520131 0.1575164  0.06722883]
7.73997283,[-4.55086784  6.12293855  0.5062531 ],[-4.55352637  6.28349621 -0.0070472 ],[0.0251691  0.21159227 0.05457478]
7.825972557,[-4.55451598  5.97270738  0.50735044],[-4.55782609e+00  6.13448291e+00 -5.78460405e-03],[0.02821616 0.14338132 0.05638978]
7.911971569,[-4.55694856  5.82037565  0.50821247],[-4.56092646e+00  5.98320549e+00 -4.50969592e-03],[0.02942731 0.10063464 0.05956412]
7.997973442,[-4.55797354  5.66639078  0.50894405],[-4.56187087e+00  5.83029680e+00 -3.59682337e-03],[0.03778003 0.10362253 0.06128836]
8.083965778,[-4.5594519   5.51202545  0.50875887],[-4.56313676e+00  5.67547910e+00 -4.45146021e-03],[0.03258283 0.07459144 0.03602922]
8.169995785,[-4.55970299  5.35635971  0.50840951],[-4.56254504e+00  5.51955224e+00 -5.23788335e-03],[0.03717121 0.13651301 0.01872884]
8.255959749,[-4.56129745  5.20060483  0.50878454],[-4.56289731e+00  5.36435042e+00 -4.93008265e-03],[0.03114166 0.14618122 0.01123352]
8.341962814,[-4.56213548  5.04433898  0.50994152],[-4.56223745e+00  5.20862509e+00 -4.23386878e-03],[0.03457472 0.11670326 0.00073922]
8.427999258,[-4.56570034  4.88859535  0.51076791],[-4.56329939e+00  5.05333557e+00 -3.82012981e-03],[ 0.0349627   0.08212626 -0.02363293]
8.513972759,[-4.57096014  4.73261065  0.51221337],[-4.56507721e+00  4.89933564e+00 -2.26161606e-03],[ 0.01994715  0.09074941 -0.0516825 ]
8.599992514,[-4.57542891  4.57501213  0.51306547],[-4.56691783e+00  4.74224262e+00 -1.82853129e-03],[-0.00291744  0.10790212 -0.08379457]
8.686001539,[-4.58144088  4.41624947  0.51349668],[-4.57051113e+00  4.58339819e+00 -1.61909850e-03],[-0.01777281  0.12446125 -0.0804615 ]
8.771997452,[-4.58859499  4.255686    0.5145419 ],[-4.57564737e+00  4.42379955e+00 -3.28302237e-04],[-0.02570622  0.14841392 -0.09471076]
8.858003616,[-4.59780366  4.09374194  0.51543735],[-4.58324587e+00  4.26155768e+00  1.86444162e-04],[-0.03751708  0.12387573 -0.09480726]
8.943967581,[-4.60790147  3.92957934  0.51617601],[-4.59263701e+00  4.09648340e+00  4.39651277e-04],[-0.03960265  0.1492598  -0.07469433]
9.029995203,[-4.61910121  3.76306346  0.51675922],[-4.60389825e+00  3.92984199e+00  2.64701480e-04],[-0.04855904  0.16227497 -0.04118414]
9.115973234,[-4.63087427  3.59325257  0.51681995],[-4.61649779e+00  3.75969675e+00 -2.27798963e-04],[-0.03361661  0.15353007  0.00378044]
9.201963902,[-4.6427973   3.4215271   0.51748951],[-4.62968251e+00  3.58817214e+00  6.97792952e-04],[-0.00888511  0.16520358  0.00048001]
9.287998438,[-4.6542436   3.25099554  0.51756665],[-4.64234232e+00  3.41694743e+00  6.98174911e-04],[-0.00908719  0.09577471  0.02101964]
9.374006271,[-4.66561916  3.08286314  0.51757204],[-4.65479348e+00  3.24818638e+00  8.20069270e-04],[0.00089041 0.1265472  0.02333984]
9.460002661,[-4.6766734   2.91830628  0.51786541],[-4.66626352e+00  3.08424325e+00  1.88236951e-03],[0.00835696 0.11810483 0.02317522]
9.546000719,[-4.68742975  2.7568199   0.51775559],[-4.67725534e+00  2.92318009e+00  2.42566873e-03],[0.00731019 0.05946234 0.01374707]
9.632006168,[-4.69785928  2.59929293  0.5174718 ],[-4.68768722e+00  2.76644894e+00  3.22192435e-03],[0.00079858 0.14330312 0.00426489]
9.718006849,[-4.70781689  2.44430008  0.51872753],[-4.69767304  2.61261417  0.00500048],[-0.00873681  0.13711626 -0.0010691 ]
9.803997517,[-4.71768201  2.28993803  0.5186002 ],[-4.70784696e+00  2.45741794e+00  4.55045625e-03],[-0.01746894  0.09018283 -0.00802523]
9.890002012,[-4.72702891  2.13536695  0.51934071],[-4.71771979  2.30232119  0.00508827],[-0.01957448  0.05931901 -0.01591083]
9.97596097,[-4.73645489  1.97951217  0.51929996],[-4.72808745  2.14554125  0.00474744],[-0.02252985  0.05023295 -0.00137586]
10.06196404,[-4.74473232  1.82148218  0.51899849],[-4.73816460e+00  1.98618353e+00  4.06573660e-03],[-0.01863421  0.11032689  0.03122128]
10.1479795,[-4.75197004  1.66165233  0.51960471],[-4.74768911e+00  1.82585623e+00  4.57804100e-03],[-0.00752961  0.09323023  0.07169045]
10.23400545,[-4.75837475  1.4999095   0.52032742],[-4.75598289  1.66415414  0.00528427],[0.00454063 0.10846795 0.07073584]
10.3199687,[-4.76328016  1.33607223  0.52102826],[-4.76263436  1.49974819  0.00576106],[0.01070893 0.12909492 0.06652481]
10.40599322,[-4.76745846  1.17025607  0.52285787],[-4.76789788  1.33361808  0.0073003 ],[0.00936896 0.09054565 0.04453297]
10.4919982,[-4.77077092  1.00226199  0.52356648],[-4.77206262  1.16555387  0.00778194],[-0.00060601  0.10392724  0.04849223]
10.5779686,[-4.77303368  0.83181956  0.5242129 ],[-4.77522238  0.99521331  0.00835594],[0.00502551 0.14750438 0.03777508]
10.66397524,[-4.7742269   0.66052099  0.52589729],[-4.77758085  0.82545787  0.01051668],[0.02744027 0.15904071 0.08130983]
10.74998474,[-4.77419222  0.4899326   0.52700497],[-4.77828199  0.65559059  0.01184186],[0.03820428 0.10599238 0.07051299]
10.83596563,[-4.77337768  0.32210823  0.52832984],[-4.77756967  0.48826665  0.01311398],[0.0481558  0.11451069 0.05702031]
10.92199755,[-4.77191702  0.15822715  0.52837433],[-4.77627775  0.32367886  0.01358843],[-0.13140072 -0.00975318 -0.18318158]
11.00796533,[-4.77247187e+00 -1.32442229e-03  5.25706369e-01],[-4.77298682  0.1599652   0.01368743],[-0.36543483  0.04532197 -0.57888056]
11.09399533,[-4.77096253 -0.15365736  0.52492936],[-4.77880852e+00  2.76584209e-03  1.49956561e-02],[-0.21087863  0.12524252  0.16423112]
11.17995882,[-4.76308365 -0.29921661  0.5274547 ],[-4.78693141 -0.1453357   0.01760707],[-0.12759753  0.07672717  0.26523391]
11.26599169,[-4.74873399 -0.43876337  0.52776907],[-4.78768623 -0.29026683  0.01793161],[-0.14129137  0.04044832  0.29164895]
11.35199261,[-4.72617345 -0.57234047  0.52803377],[-4.78211178 -0.43031319  0.01916137],[-0.10126056 -0.01084959  0.42590946]
11.43799949,[-4.69431598 -0.70119473  0.52851899],[-4.76877049 -0.56778751  0.01962974],[-0.06594931 -0.03045213  0.52372681]
11.52399611,[-4.65211377 -0.82665044  0.52869181],[-4.74556877 -0.70395297  0.02002936],[-0.03446634 -0.11208714  0.59032905]
11.60995722,[-4.59733219 -0.9483362   0.52964078],[-4.70982592 -0.83882589  0.02089548],[-0.00345243 -0.08568125  0.67635736]
11.69596338,[-4.52964598 -1.0654038   0.5323266 ],[-4.66058377 -0.97079541  0.02347004],[ 0.02376007 -0.13035224  0.71978314]
11.78198385,[-4.44903176 -1.17721944  0.5345944 ],[-4.59609515 -1.10035692  0.02488646],[ 0.06103573 -0.16338642  0.7478893 ]
11.86799622,[-4.35625024 -1.28185774  0.53444621],[-4.51629915 -1.22349852  0.02508839],[ 0.08525362 -0.19484386  0.75185903]
11.95399141,[-4.25184287 -1.37812458  0.53515632],[-4.42191404 -1.33832546  0.02605552],[ 0.07064048 -0.1238104   0.69097591]
12.03996897,[-4.13602303 -1.46439323  0.53471143],[-4.31335202 -1.44436884  0.02530686],[ 0.08580278 -0.23494928  0.70151462]
12.12599468,[-4.01031107 -1.53964876  0.53399698],[-4.19258517 -1.5400615   0.02458535],[ 0.08204838 -0.17594209  0.68534496]
12.21197248,[-3.87524576 -1.60242608  0.53394662],[-4.06076939 -1.62338918  0.02480641],[ 0.06625954 -0.17164254  0.69115806]
12.2979672,[-3.73241139 -1.65193043  0.53370708],[-3.91701387 -1.69417203  0.02383559],[ 0.09352582 -0.21086154  0.73428934]
12.38400054,[-3.58197288 -1.6877575   0.53434487],[-3.76233868 -1.74980128  0.0231444 ],[ 0.14431417 -0.21224351  0.76351527]
12.46999526,[-3.42266045 -1.70999184  0.53541156],[-3.5985464  -1.78874701  0.02316092],[ 0.1813242  -0.25462307  0.78035722]
12.55599666,[-3.2559775  -1.71814489  0.53654291],[-3.42557614 -1.80990122  0.02301178],[ 0.2195543  -0.11968584  0.75490041]
12.641994,[-3.08761032 -1.71190872  0.53933703],[-3.25148524 -1.81193582  0.02498377],[ 0.27211354 -0.00139442  0.70372958]
12.72796035,[-2.92255862 -1.69310724  0.54088561],[-3.0811014  -1.7967389   0.02543814],[0.2941753  0.07201319 0.62261433]
12.81399727,[-2.76422191 -1.66506025  0.53709486],[-2.92046071 -1.76878922  0.02809236],[ 0.15899385 -0.21032059  0.34651243]
12.89999652,[-2.61834363 -1.63168677  0.52685439],[-2.77267635 -1.73281273  0.02687499],[ 0.09764488 -0.15522219  0.22282506]
12.98595858,[-2.49330265 -1.59317897  0.52339291],[-2.64524173 -1.69717171  0.0266954 ],[0.0849172  0.09000885 0.30194647]
13.07198596,[-2.38709527 -1.55146084  0.52655669],[-2.53442794 -1.66124604  0.02682593],[ 0.0795022  -0.41869934  0.43170317]
13.15799928,[-2.29865119 -1.50746725  0.52895158],[-2.43908633 -1.62341559  0.02504855],[0.12819748 0.01483344 0.53589877]
13.24399447,[-2.22548172 -1.46158177  0.53217714],[-2.35899972 -1.58429172  0.02469389],[ 0.12103122 -0.16214981  0.54337005]
13.33000326,[-2.16452971 -1.41412034  0.53722778],[-2.2905689  -1.54378422  0.02401107],[0.13107732 0.63903888 0.53979106]
13.41597533,[-2.11272089 -1.36578071  0.53847296],[-2.23085073 -1.50153511  0.02299223],[ 0.14177739 -0.08834166  0.54773755]
13.50197339,[-2.06838744 -1.31677237  0.53959233],[-2.17846369 -1.4578707   0.02196866],[0.1223952  0.17273016 0.52202825]
13.58797073,[-2.02989327 -1.26680139  0.53919098],[-2.13206924 -1.41309034  0.02118546],[ 0.10896646 -0.24518071  0.50322436]
13.67397451,[-1.99670876 -1.2160212   0.53866222],[-2.09107425 -1.36719905  0.02041286],[ 9.69885301e-02 -4.47791234e-04  4.73015638e-01]
13.75997424,[-1.968224   -1.16506135  0.53866676],[-2.05480701 -1.32091353  0.02059712],[0.09622242 0.01500072 0.45461799]
13.84597039,[-1.94374526 -1.11453307  0.53758937],[-2.0224472  -1.27410728  0.01959853],[ 0.08733842 -0.01881481  0.42469846]
13.93197203,[-1.92369045 -1.06387677  0.53721304],[-1.99428647 -1.22720259  0.01934035],[0.0722285  0.01311466 0.37909336]
14.01797771,[-1.90602017 -1.01223715  0.53641289],[-1.9683728  -1.17845095  0.01851745],[0.067589   0.00195145 0.38606411]
14.10396743,[-1.89087478 -0.95807406  0.53544204],[-1.94483    -1.12666713  0.01745103],[0.06268205 0.00705323 0.36686611]
14.18997073,[-1.87687348 -0.90026357  0.53454406],[-1.92262135 -1.07005727  0.01638012],[0.0468255  0.03313642 0.33068994]
14.27597451,[-1.86406192 -0.83808344  0.53375234],[-1.90252346 -1.0088896   0.0153084 ],[0.05404018 0.00368262 0.31945753]
14.36197281,[-1.85203863 -0.77082507  0.53246926],[-1.88398085 -0.94170868  0.01391332],[0.04701193 0.03587533 0.27427405]
14.4479928,[-1.84105358 -0.69924625  0.53175013],[-1.86750555 -0.87045942  0.01303646],[ 0.04549479 -0.00602535  0.2332355 ]
14.53399062,[-1.83087349 -0.62386938  0.53008037],[-1.85293575 -0.7946171   0.01116053],[0.04271731 0.00385433 0.19451636]
14.61997676,[-1.82184937 -0.54517327  0.52963489],[-1.84020565 -0.7154871   0.01044778],[0.03617137 0.04093588 0.15966899]
14.705971,[-1.81351127 -0.4640689   0.52845337],[-1.82907043 -0.63339287  0.00883483],[0.02333471 0.05410062 0.10806684]
14.79200339,[-1.80600744 -0.38054541  0.52746148],[-1.81974021 -0.54986035  0.00778683],[0.00462136 0.03790659 0.08010871]
14.87800574,[-1.79928891 -0.29497693  0.52665135],[-1.81088681 -0.46424054  0.00708685],[0.01390405 0.08573949 0.09270254]
14.96396828,[-1.79366211 -0.20713893  0.52539344],[-1.80309199 -0.37603146  0.00573046],[0.01960571 0.05542145 0.10468767]
15.04999733,[-1.78868945 -0.11681208  0.52410339],[-1.79617452 -0.28595198  0.00497173],[0.02574263 0.03695498 0.11077491]
