h_com,m_0,m_1,m_2
1.827388675,11.943,1.635,5.727
1.81939049,12.443,1.635,5.727
1.80308255,12.943,1.635,5.727
1.791871949,13.443,1.635,5.727
1.78297569,13.943,1.635,5.727
1.769028149,14.443,1.635,5.727
1.753798995,14.943,1.635,5.727
1.746173478,15.443,1.635,5.727
1.732988469,15.943,1.635,5.727
1.720082571,16.443,1.635,5.727
